,English,German,Arabic
9013,in the past year organizations around the world have banded together like never before to fight for online freedoms from the fight against sopa and pipa in the united states to global efforts that killed the anti counterfeiting trade agreement acta we have reached a zeitgeist of internet freedom and openness.,"Im vergangenen Jahr haben sich Organisationen auf der ganzen Welt wie nie zuvor zusammengeschlossen, um für Online-Freiheiten vom Kampf gegen Sopa und Pipa in den Vereinigten Staaten bis hin zu globalen Bemühungen, die das Anti-Fälschungs-Handelsabkommen acta töteten, zu kämpfen, haben wir einen Zeitgeist der Internetfreiheit und Offenheit erreicht.",في العام الماضي توحدت الموسسات والشركات كما لم يحدث من قبل من اجل حرية الانترنت بدءا من محاربة قوانين وقف القرصنة على الانترنت وقانون حماية الملكية الفكرية في الولايات المتحدة الامريكية الى تكاتف الجميع لوقف اتفاقية مكافحة التزييف التجارية حتى توصلنا لاتجاه وفكرة تربطنا جميعا من اجل انترنت حر ومفتوح للجميع
9014,Tom told me not to talk to Mary.,"Tom sagte mir, ich solle nicht mit Maria reden.",أخبرني توم بألا أتكلم مع ماري.
9015,I want to go to Italy.,Ich will nach Italien.,أود السفر إلى إيطاليا.
9016,I know he is watching me.,"Ich weiß, dass er mich beobachtet.",أعلم أنه يراقبني.
9017,Was her story true?,War ihre Geschichte wahr?,هل كانت قصتها حقيقية؟
9018,I just got up.,Ich bin gerade aufgestanden.,استيقظت للتوّ.
9019,Could you tackle this?,Könnten Sie das angehen?,هل يمكنك معالجة هذا الامر؟
9020,Tokyo is the largest city in Japan.,Tokio ist die größte Stadt Japans.,طوكيو هي أكبر مدينة في اليابان.
9021,Tom made me angry.,Tom machte mich wütend.,أغضبني توم.
9022,Birds fly long distances.,Vögel fliegen weite Strecken.,تقطع الطيور مسافات طويلة.
9023,Who are you?,Wer sind Sie?,من أنت؟
9024,She's accustomed to getting up early.,"Sie ist es gewohnt, früh aufzustehen.",هي معتادة على الاستيقاظ باكرا.
9025,He can also speak French.,Er kann auch Französisch sprechen.,يتكلم الفرنسية أيضاً.
9026,A little knowledge can be a dangerous thing.,Ein wenig Wissen kann gefährlich sein.,القليل من المعرفة يمكن أن يكون شيء خطير.
9027,Don't you play tennis?,Spielst du nicht Tennis?,ألا تلعب التنس؟
9028,That doesn't change anything.,Das ändert nichts.,هذا لا يغير شيئاً.
9029,read more about the initiative and check the first episode here.,Lesen Sie mehr über die Initiative und überprüfen Sie die erste Folge hier.,للتعرف على المبادرة ومشاهدة الجزء الاول هنا
9030,The cat is on the mat.,Die Katze ist auf der Matte.,القطة على السجادة.
9031,She’s a doctor now.,Sie ist jetzt Ärztin.,هي طبيبة الآن.
9032,money flies on a building s exterior in caracas venezuela.,Geld fliegt auf einem Gebäude außen in Caracas venezuela.,نقود تطير على حايط مبنة في كاراكاس فنزويلا
9033,I am going to watch TV this evening.,Ich werde heute Abend fernsehen.,سأشاهد التلفاز هذا المساء.
9034,Will you marry me?,Willst du mich heiraten?,هلا تزوّجتني؟
9035,The baby cried all night.,Das Baby weinte die ganze Nacht.,بقي الرضيع يبكي طول الليل.
9036,Do you know who he is?,"Weißt du, wer er ist?",هل تعرف من يكون؟
9037,Do you like music?,Magst du Musik?,أتحب الموسيقى؟
9038,The roof is on fire.,Das Dach brennt.,السقف يحترق
9039,Control yourself.,Beherrschen Sie sich.,تَحَكَم بنفسك.
9040,Kids love dogs.,Kinder lieben Hunde.,الأطفال يحبّون الكلاب.
9041,What is his age?,Wie alt ist er?,كم عمره؟
9042,Which bed do you want to use?,Welches Bett willst du benutzen?,على أي سرير تريد أن تنام؟
9043,Is this translation correct?,Ist diese Übersetzung korrekt?,هل هذه الترجمة صحيحة؟
9044,children crisis in syria how you can help global voices.,"Kinder Krise in Syrien, wie Sie globale Stimmen helfen können.",ازمة الاطفال في سوريا طرق المساعدة الاصوات العالمية
9045,Tom did his best to explain what had happened.,"Tom tat sein Bestes, um zu erklären, was geschehen war.",بذل توم ما بوسعه لشرح ما حدث.
9046,Tom and I are dependent on each other.,Tom und ich sind aufeinander angewiesen.,أنا وتوم نعتمد على بعضنا.
9047,Bees make honey.,Bienen machen Honig.,يصنع النحل العسل.
9048,Go find Tom.,Geh und suche Tom.,إذهب وابحث عن طوم.
9049,She bought eggs by the dozen.,Sie kaufte bis zum Dutzend Eier.,اشترت البيض بالدزينة.
9050,twitter users reacted immediately to maduro s announcement.,Twitter-Nutzer reagierten sofort auf die Ankündigung von Maduro.,تفاعل المغردين بعد الاعلان مباشرة كما يلي
9051,It was such a shock.,Es war so ein Schock.,كانت صدمة قوية.
9052,hossein ronaghi maleki blogger.,hossein ronaghi maleki blogger.,حسين رونقي مالكي مدون
9053,The opera starts at seven.,Die Oper beginnt um sieben Uhr.,تبدأ الأوبرا في الساعة السابعة.
9054,I play tennis every day.,Ich spiele jeden Tag Tennis.,ألعب التنس كل يوم.
9055,the online project top publishes a report on facebook benchmarks in the middle east.,Das Online-Projekt top veröffentlicht einen Bericht über Facebook-Benchmarks im Nahen Osten.,ينشر موقع نواة بالفرنسية نقدا لاحدث تقرير من اليونسكو عن الاعلان في تونس
9056,She prefers staying home to going out.,"Sie zieht es vor, zu Hause zu bleiben, um auszugehen.",إنها تفضل البقاء في المنزل على الخروج.
9057,I'll explain this later.,Ich erklär's dir später.,سأشرح هذا لاحقا.
9058,Tom likes to knit.,Tom strickt gerne.,يحب توم الحياكة.
9059,Don't forget the ticket.,Vergessen Sie nicht die Fahrkarte.,لا تنس تذكرة الدخول.
9060,My father and my brother work in this factory.,Mein Vater und mein Bruder arbeiten in dieser Fabrik.,يعمل أبي وأخي في هذا المصنع.
9061,Remember what happened last year.,"Denken Sie daran, was letztes Jahr passiert ist.",ألا تذكر ما حدث السنة الماضية؟
9062,I would rather sing than dance.,Ich würde lieber singen als tanzen.,أفضل الغناء على الرقص.
9063,You should swear on the Bible.,Du solltest auf die Bibel schwören.,ينبغي أن تقسم ويدك على الإنجيل.
9064,The police have Tom under surveillance.,Die Polizei hat Tom unter Beobachtung.,وضعت الشرطة توم تحت المراقبة.
9065,When are you going to do that?,Wann wirst du das tun?,متى ستقوم بذلك؟
9066,the region is not an easy one to work in from slow internet to rising regional tensions hoping to move beyond these concerns the goal of the training was to create a hub of users that could produce stories and provide feedback on the newly released beta version of storymaker the participants were chosen by the independant media centre of kurdistan imck and included arabic and kurdish students and professional journalists rising voices was on hand to provide story ideas and mentoring.,"Die Region ist nicht einfach, vom langsamen Internet zu den wachsenden regionalen Spannungen zu arbeiten, in der Hoffnung, über diese Bedenken hinauszugehen, war das Ziel des Trainings, einen Hub von Nutzern zu schaffen, die Geschichten produzieren und Feedback zu der neu veröffentlichten Beta-Version des Storymakers geben konnten, die die Teilnehmer vom unabhängigen Medienzentrum von Kurdistan imck ausgewählt wurden und unter anderem arabische und kurdische Studenten und professionelle Journalisten, die sich aufhielten, zur Verfügung standen, um Story-Ideen und Mentoring zu liefern.",المنطقة ليست سهلة للعمل بها بدء من بطء الاتصال بالانترنت الى التوتر المتصاعد في المنطقة نامل ان يمر كل هذا القلق هدف التدريب عمل واعداد مجموعة من المستخدمين بامكانهم اعداد اخبار وتسجيل رايهم حول النسخة التجريبية من تطبيق ستوري ميكر تم اختيار المشاركين من قبل المركز الاعلامي المستقل في كردستان ومن بينهم طلاب عرب واكراد وصحفيين محترفين كانت الاصوات الصاعدة تمد يد العون لتوفير افكار اخبارية وتعليمية
9067,professor v v subramaniam presented a lecture demonstration on how the essence of music is interpreted and performed on the violin.,"Professor v v subramaniam präsentierte eine Vortragsvorführung, wie die Essenz der Musik auf der Violine interpretiert und aufgeführt wird.",قدم الاستاذ في في سوبرامانيام محاضرة توضح كيف تعبر وتمثل الة الكمان عن جوهر وروح الموسيقى
9068,video from the event by rfe rl radio free afghanistan can be watched here more photos from the protest can be accessed here.,Video von der Veranstaltung von rfe rl radio free afghanistan kann hier mehr Fotos aus dem Protest kann hier zugegriffen werden.,فيديو للحدث من اذاعة اوروبا الحرة راديو ليبيرتي يمكن مشاهدته هنا المزيد من الصور للمظاهرة يمكن الوصول لها هنا
9069,I don't want to be cremated.,Ich will nicht eingeäschert werden.,لا أريد أن تحرق جثتي.
9070,carjacking victim in south africa rescued with a tweet one of many inspiring stories from twitterstories.,Carjacking Opfer in Südafrika gerettet mit einem Tweet eine von vielen inspirierenden Geschichten aus Twitterstories.,انقاذ ضحية لسرقة سيارة في جنوب افريقيا بفضل تغريدة واحدة من بين حكايات ملهمة عديدة عبر وسم
9071,I said I would make her happy.,"Ich sagte, ich würde sie glücklich machen.",قلتُ أني سأسعدها.
9072,She continued her talk.,Sie setzte ihr Gespräch fort.,أكملت حديثها.
9073,I'm sure Tom is bored.,"Ich bin sicher, Tom langweilt sich.",أنا متأكد أن توم ممل.
9074,Tom went inside the apartment.,Tom ging in die Wohnung.,دخل توم الشقة.
